Year	Total Indian Textiles imported to England	Baft %	Baftas (coloured) %	Baftas (white) %	Bandannoes %	Bettelles %	Boralchowders %	Byram % Pauts % 	Carridarries %	Cheiloes %	Chilleas %	Chintz %	Coopees (white) %	Cossaes (white) %	Cuttanees (white) %	Derebands (white) %	Doreas %	Dosooties (white) %	Dungarees %	Elatches %	Emerties (white) %	Ginghams %	Gurrahs (white) %	Guinea Stuffs %	Humhums (white) %	Lacowries (white) %	Long Cloth (white) %	Mercoolees (white) %	Moorees (white) %	Cotton Fabrics %	Nilleas %	Pallampores %	Pautkeys %	Percalles (white) %	Photaes %	Romalls %	Sail Cloth (white) %	Sallamporees (white) %	Sallowes (white) %	Sannoes (white) %	Seerbettees (white) %	Silk Lungees %	Sooseys %	Sovaguzzies (white) %	Taffetas (white) %	Tanjeebs (white) %
1733	673171	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	25.1	4.7	NA	NA	5.3	NA	NA	NA	NA	NA	NA	NA	NA	16.4	NA	7.3	NA	NA	NA	NA	2.1	NA	NA	2.7
1734	895987	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	22.6	7.3	NA	1.8	10.4	NA	NA	NA	NA	NA	NA	NA	NA	13.9	NA	9.1	NA	NA	NA	NA	NA	NA	2.4	NA
1735	986494	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	NA	4.5	NA	NA	NA	2.7	NA	NA	NA	NA	19	7.5	NA	NA	13.2	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	9.8	NA	NA	NA	NA	2.3	NA	NA	NA
1736	731413	5.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.1	NA	7.4	NA	NA	NA	2.2	NA	NA	1.8	NA	15.3	NA	NA	1.8	8.1	NA	NA	3	NA	NA	NA	NA	NA	14.2	NA	4.7	NA	NA	NA	NA	2.6	NA	NA	3.4
1737	621615	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6	NA	6.4	NA	NA	2.1	NA	NA	NA	NA	NA	10.1	1.8	1.8	NA	14	NA	NA	2.5	NA	NA	NA	NA	NA	19.1	NA	7.3	NA	NA	NA	NA	2.7	NA	NA	2.9
1738	701918	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8	NA	6.6	NA	NA	2.2	NA	NA	NA	3	NA	19.5	NA	NA	NA	8.4	NA	NA	2.7	NA	NA	NA	NA	1.5	14.5	NA	3.6	NA	NA	NA	NA	2.5	NA	NA	2.7
1739	881916	5.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4	NA	8.8	NA	NA	1.7	NA	NA	NA	2.6	NA	21.3	3.7	NA	NA	10	NA	NA	3.3	NA	NA	NA	NA	NA	11	NA	2.5	NA	NA	NA	NA	NA	NA	NA	3.7
1740	636437	5.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	NA	10.5	NA	NA	2.2	NA	NA	NA	2.4	NA	18.5	NA	1.8	NA	8	NA	NA	4.3	NA	NA	NA	NA	NA	13.8	NA	3.5	NA	NA	NA	NA	2.1	NA	NA	4.2
1741	985493	3.8	NA	NA	1.6	NA	NA	NA	NA	2.6	NA	4.6	NA	7.7	NA	NA	NA	NA	NA	NA	2.7	NA	16.1	6.4	NA	NA	10.5	NA	NA	3	NA	NA	NA	NA	NA	13	NA	3.9	NA	NA	NA	NA	NA	NA	NA	3.4
1742	962546	5.5	NA	NA	1.7	NA	NA	NA	NA	NA	NA	3.6	NA	11	NA	NA	1.8	NA	NA	NA	2.7	NA	19.4	NA	NA	NA	9	NA	NA	3.7	NA	NA	NA	NA	1.7	15.5	NA	1.6	NA	NA	NA	NA	NA	NA	NA	2.9
1743	819042	6.7	NA	NA	NA	NA	2.4	NA	NA	NA	NA	3.2	NA	13.2	NA	NA	NA	NA	NA	NA	2.8	NA	3.6	4.4	NA	NA	9	NA	NA	4.8	2.2	NA	NA	NA	NA	16	NA	2.5	NA	NA	NA	NA	NA	NA	NA	3.5
